robot,window,count,rmse,mean,pstd,mean_dt
a,1,1349,0.1368720278465609,0.10787516119235858,0.084243110131051,1.0
a,10,1340,0.8251286676776836,0.7490891800297164,0.3459808066727934,10.0
a,50,1300,2.865237119711998,2.5453607317266345,1.3155692674882444,50.0
b,1,181,1.9607414680042095,0.6748998486863962,1.8409283795396227,1.0
b,10,172,3.262235246497625,1.9185237094427312,2.6384551502342277,10.0
b,50,132,3.266564532547179,2.611122833485506,1.9627739028593663,50.0
c,1,702,0.9366669593762698,0.46675826703820195,0.8120847941801906,1.0
c,10,693,1.2009003350107332,0.9209623220834666,0.7707074775370482,10.0
c,50,653,2.091746085350932,1.9229353109907494,0.8232384073437423,50.0
d,1,1061,3.21362047928231,0.6669547529743572,3.143648826180743,1.0
d,10,1052,5.43121343530472,2.0935474331479855,5.011500626059419,10.0
d,50,1012,7.503218585970942,5.102518904963964,5.501144423967175,50.0
e,1,532,1.1140176602958738,0.35840092836045895,1.054791032385777,1.0
e,10,523,1.8287178872509913,1.3658866509792587,1.21596166379882,10.0
e,50,483,4.947707112033052,4.404433604357378,2.2540564081827905,50.0
