robot,window,count,rmse,mean,pstd,mean_dt
a,1,1356,0.14489955598401105,0.10287568143966759,0.10204153807488181,1.0
a,10,1347,0.900555529929726,0.7899606402170628,0.4323915463961534,10.0
a,50,1307,3.4060857795321575,2.91902755197826,1.7551918665271342,50.0
b,1,264,0.5202944430714681,0.18015203610002606,0.48811018364716,1.0
b,10,255,0.9559920971644874,0.8043752790619437,0.516624912557433,10.0
b,50,215,2.8819577895120454,2.7338958699934044,0.9118629680835594,50.0
c,1,623,0.25913153565051106,0.10803887197121176,0.23553503966879374,1.0
c,10,614,0.6496714767573577,0.5596474281531201,0.32995118407680296,10.0
c,50,574,2.0074335444008464,1.833971154358101,0.8162960493400424,50.0
d,1,1061,0.711353927004737,0.23004085997582088,0.6731311998463935,1.0
d,10,1052,1.0899391364256974,0.7907908683135287,0.7500780784053955,10.0
d,50,1012,2.444155649357724,2.161783612804633,1.1404334481663665,50.0
e,1,528,0.6001664391179713,0.16933209486667988,0.5757832893473092,1.0
e,10,519,1.0992097236592069,0.8139059873191616,0.7387956824406671,10.0
e,50,479,3.191657552248995,2.660124735286971,1.7636366756059665,50.0
