robot,window,count,rmse,mean,pstd,mean_dt
a,1,1183,0.8851010121098167,0.15627288406884585,0.8711960671069555,1.0
a,10,1174,2.729761339848114,1.193488588171932,2.455031967700775,10.0
a,50,1134,5.6320854245419385,4.088594373301773,3.8734716056714302,50.0
b,1,614,3.0515098270378087,0.34727839454480824,3.031684340624977,1.0
b,10,605,4.519536584713923,1.4735445151749544,4.272572702993523,10.0
b,50,565,5.794213056841261,4.226805367917234,3.9632084640876277,50.0
c,1,920,1.4889257070403144,0.3794425093888591,1.4397649610801713,1.0
c,10,911,3.747078233845067,1.647666738883914,3.3653810494698986,10.0
c,50,871,5.921510054204716,4.1700828683413365,4.204127756528536,50.0
d,1,528,0.8469014479745111,0.2225989093915606,0.8171240959113928,1.0
d,10,519,1.2466624461854952,0.9514629531970419,0.8055342968631237,10.0
d,50,479,3.9154362333296486,3.40310495254164,1.9363671085972398,50.0
