robot,window,count,rmse,mean,pstd,mean_dt
a,1,1173,0.29562016668334207,0.10278771304742557,0.2771749790229396,1.0
a,10,1164,1.1735229130791285,0.7747243623917847,0.8814523185279886,10.0
a,50,1124,3.1297820095156856,2.5232489800043463,1.8516884219530727,50.0
b,1,606,0.10289499426179588,0.09053122611764576,0.04890272938978664,1.0
b,10,597,0.7555623553370023,0.6851513943956073,0.3184996696390019,10.0
b,50,557,2.62054059282486,2.4250674966873835,0.9931166271658414,50.0
c,1,927,0.8512369143659404,0.2849880409031632,0.8021135212184275,1.0
c,10,918,1.2792879053403927,0.8927784152585329,0.9162555571447697,10.0
c,50,878,2.6830206051093226,2.352372945266664,1.2903259641728646,50.0
d,1,530,0.5416236859018035,0.1828724375955425,0.509817505287647,1.0
d,10,521,1.0569045703234698,0.8985510708954103,0.5564649528616783,10.0
d,50,481,3.495119789499241,3.2223215273187424,1.3537009704980671,50.0
