robot,window,count,rmse,mean,pstd,mean_dt
a,1,1179,0.2824303670301194,0.10337604895419569,0.2628313237104506,1.0
a,10,1170,1.1154197465403182,0.7737783501841675,0.8033855088052914,10.0
a,50,1130,2.9504687584087943,2.412735442975291,1.6982265975296569,50.0
b,1,618,0.7600375491924125,0.16365551246370502,0.7422088314097663,1.0
b,10,609,1.0966354369921112,0.7041053521786802,0.8407407059850351,10.0
b,50,569,2.527937068051701,2.243578774988576,1.1648262104067642,50.0
c,1,922,0.6768597950861961,0.24067832834520175,0.6326239992832137,1.0
c,10,913,1.2337189838449942,0.9266593473271142,0.8144722126081474,10.0
c,50,873,2.860293700512342,2.485299849726598,1.4158265113139863,50.0
d,1,529,0.6901723517673019,0.19731172995491875,0.6613667336404253,1.0
d,10,520,1.1441939212388292,0.9216815202486395,0.6779991922060418,10.0
d,50,480,3.376733871199181,3.1069242086162645,1.3226313162850802,50.0
